currency,date,millisUTC,value,type,millis,createdAt._seconds,createdAt._nanoseconds,valueFormatted,uid,description,createdMillis,id,clientId,notes,clientName,jobId
BRL,16/07/2022,1657929600000,200,tool,1657940400000,1657952238,847000000,"R$ 200,00",kUEYcgZJcoNdMxy7Asb0iup7pw02,chave de fenda,1657952238844,VZy4BGnc0ngEMg0UA9p9_kUEYcgZJco
BRL,11/08/2021,1628640000000,28,material,1628650800000,1628715934,540000000,"R$ 28,00",kUEYcgZJcoNdMxy7Asb0iup7pw02,,1628715933977,fJNRiniNAcnch9GHIrTy_kUEYcgZJco,-Mgr1A9cNjROzB6Gtjav,,. ANP. Henrique,
